Rank,Surname,Incidence,Frequency
1,Tan,723595,1/8
2,Chan,178566,1/31
3,Chong,105638,1/52
4,Chen,96527,1/57
5,Sim,83824,1/66
6,Wang,78111,1/71
7,Li,71182,1/77
8,Lim,66833,1/82
9,Tang,62592,1/88
10,Lin,62323,1/88
11,Lau,54371,1/101
12,Zhang,54298,1/101
13,Cheng,49667,1/111
14,Liu,49577,1/111
15,Lai,47112,1/117
16,Quek,44056,1/125
17,Ng,42558,1/129
18,Huang,42100,1/131
19,Seah,41133,1/134
20,Pang,40273,1/137
21,Yang,40123,1/137
22,Neo,39070,1/141
23,Han,34191,1/161
24,Gan,34161,1/161
25,Wu,34024,1/162
26,Chang,33939,1/162
27,Song,31546,1/175
28,Hong,31521,1/175
29,Wong,30776,1/179
30,Chow,30686,1/179
31,Ling,28388,1/194
32,Wei,27780,1/198
33,Yu,27618,1/199
34,Ong,27301,1/202
35,Kong,24647,1/223
36,Phua,24562,1/224
37,Goh,24395,1/226
38,Teng,24040,1/229
39,Xu,23997,1/230
40,Chua,22820,1/241
41,Chng,21339,1/258
42,Kang,21189,1/260
43,Koh,20731,1/266
44,Tong,20671,1/266
45,Chai,20299,1/271
46,Teo,19944,1/276
47,Wan,18818,1/293
48,Yip,18656,1/295
49,Lu,18579,1/296
50,Liang,18549,1/297
51,Hui,17838,1/309
52,Ang,17795,1/310
53,Zhou,17124,1/322
54,Ho,16862,1/327
55,Peh,16845,1/327
56,Yan,16546,1/333
57,Tay,16529,1/333
58,Sun,16161,1/341
59,Kim,15450,1/356
59,Kwok,15450,1/356
61,Zheng,15343,1/359
62,Su,14872,1/370
63,Law,14693,1/375
63,Zhao,14693,1/375
65,Hu,14500,1/380
66,Low,14449,1/381
67,Poon,13640,1/404
68,Cai,13417,1/411
69,Kwan,13267,1/415
70,Guo,13237,1/416
70,Kwek,13237,1/416
72,Peng,13088,1/421
73,Mok,12557,1/439
74,Zhu,12245,1/450
75,Ko,11919,1/462
76,Chu,11500,1/479
77,Jiang,11162,1/493
77,Tai,11162,1/493
79,Mak,11085,1/497
80,Loh,10965,1/502
81,He,10952,1/503
82,Choy,10909,1/505
83,Shi,10892,1/506
84,Meng,10879,1/506
85,Leong,10862,1/507
86,Sin,10807,1/510
87,Shen,10789,1/510
88,Chia,10742,1/513
89,Fu,10417,1/529
90,Yi,10387,1/530
91,Seet,10361,1/532
92,Chew,10357,1/532
93,Fang,10254,1/537
94,Kumar,10233,1/538
95,Pan,10109,1/545
96,Yin,9942,1/554
97,Xie,9677,1/569
98,Yap,9668,1/570
99,Toh,9664,1/570
100,Ye,9634,1/572
101,Lian,9394,1/586
102,Yuen,9381,1/587
103,Fan,9159,1/601
104,Luo,8876,1/621
105,Wen,8846,1/623
106,Ma,8654,1/636
107,Jin,8607,1/640
108,Leng,8414,1/655
109,Rao,8281,1/665
110,Cho,8251,1/668
111,Wee,8213,1/671
112,Jia,8192,1/672
113,Feng,8162,1/675
114,Ding,8132,1/677
115,Yong,8059,1/683
116,Soh,8046,1/685
117,Foo,8037,1/685
118,Tian,8029,1/686
119,Yuan,7956,1/692
120,Png,7687,1/716
121,Chin,7665,1/719
122,Xiao,7631,1/722
123,Choi,7229,1/762
123,Gao,7229,1/762
125,Au,7079,1/778
125,Yao,7079,1/778
127,Guan,6903,1/798
128,Weng,6651,1/828
128,Yue,6651,1/828
130,Singh,6582,1/837
131,Kan,6501,1/847
132,Zeng,6488,1/849
133,Choo,6338,1/869
134,Min,6266,1/879
135,Lee,6236,1/883
136,Lui,6159,1/894
137,Leung,6056,1/909
138,Cheong,5957,1/925
139,Heng,5821,1/946
140,Cao,5761,1/956
141,Chee,5705,1/965
142,Khoo,5521,1/998
143,Poh,5495,1/1002
144,Cheung,5388,1/1022
144,Zhong,5388,1/1022
146,Liao,5375,1/1025
147,Dong,5316,1/1036
148,Hua,5183,1/1063
149,Chiu,5106,1/1079
150,Liew,5033,1/1094
151,Fung,4973,1/1108
152,Mun,4870,1/1131
153,Deng,4793,1/1149
154,Aung,4652,1/1184
155,Xue,4648,1/1185
156,Lam,4554,1/1209
157,Qiu,4528,1/1216
158,Lan,4511,1/1221
159,Gu,4348,1/1267
160,Qi,4305,1/1279
161,Yun,4288,1/1284
162,Kwa,4203,1/1310
163,Hao,4173,1/1320
164,Qian,4143,1/1329
164,Sze,4143,1/1329
166,Shu,4096,1/1345
167,Ji,4053,1/1359
168,Cheang,3950,1/1394
169,Kwong,3903,1/1411
170,Tham,3899,1/1413
171,Chui,3860,1/1427
171,Qin,3860,1/1427
173,You,3800,1/1449
174,Yee,3792,1/1452
175,Ying,3788,1/1454
176,Hwang,3758,1/1466
177,Dai,3698,1/1489
178,Zhuang,3668,1/1502
178,Zhuo,3668,1/1502
180,See,3638,1/1514
181,Man,3608,1/1527
182,Xia,3578,1/1539
183,Sheng,3535,1/1558
184,Kum,3518,1/1566
185,Loo,3492,1/1577
186,Fong,3415,1/1613
187,Ke,3372,1/1633
188,Tao,3325,1/1656
189,Ku,3313,1/1662
190,Gong,3295,1/1672
191,Chao,3223,1/1709
192,So,3193,1/1725
193,Hou,3133,1/1758
193,Seow,3133,1/1758
195,Win,3077,1/1790
196,Xiang,2983,1/1846
197,Cui,2953,1/1865
198,Ni,2910,1/1893
198,Shao,2910,1/1893
198,Zou,2910,1/1893
201,Xiong,2897,1/1901
202,Nguyen,2872,1/1918
203,Shin,2820,1/1953
204,Yeung,2790,1/1974
205,Yim,2778,1/1983
206,An,2760,1/1996
207,Kwee,2731,1/2017
207,Mao,2731,1/2017
209,Leow,2718,1/2026
210,Bao,2705,1/2036
210,Chou,2705,1/2036
212,Fok,2628,1/2096
213,Lei,2615,1/2106
213,Raj,2615,1/2106
215,Teh,2589,1/2127
216,Xing,2568,1/2145
217,Ge,2525,1/2181
218,Ren,2508,1/2196
219,Tee,2495,1/2207
220,Sharma,2461,1/2238
221,Jung,2435,1/2262
222,Soon,2431,1/2266
223,Ahmad,2375,1/2319
223,Tse,2375,1/2319
225,Woo,2354,1/2340
226,Chung,2285,1/2410
227,Pong,2273,1/2423
227,Tsang,2273,1/2423
229,Jong,2213,1/2489
230,Kaur,2208,1/2494
231,Soo,2161,1/2549
232,Tu,2110,1/2610
233,Ou,2093,1/2631
234,Ting,2084,1/2643
235,Pak,2080,1/2648
236,Gupta,2050,1/2687
236,Thia,2050,1/2687
238,Ooi,2033,1/2709
239,Ali,2024,1/2721
239,Kee,2024,1/2721
241,Mei,2020,1/2727
242,Rahman,1990,1/2768
242,Sha,1990,1/2768
244,Khan,1964,1/2804
245,Boon,1960,1/2810
245,Won,1960,1/2810
247,Tun,1943,1/2835
248,Che,1930,1/2854
248,Seetoh,1930,1/2854
248,Seng,1930,1/2854
251,Oo,1909,1/2885
252,Shah,1900,1/2899
253,Cha,1857,1/2966
254,Krishnan,1853,1/2972
255,Nair,1849,1/2979
256,Yew,1845,1/2985
257,Loke,1836,1/3000
258,Duan,1827,1/3015
258,Ming,1827,1/3015
260,Seo,1810,1/3043
261,Lou,1768,1/3115
262,Qu,1738,1/3169
263,Soe,1729,1/3185
264,Ban,1695,1/3249
264,Ching,1695,1/3249
264,Zhan,1695,1/3249
267,Cheah,1673,1/3292
268,Ee,1661,1/3316
269,Miao,1635,1/3369
270,Chi,1618,1/3404
271,Jing,1588,1/3468
271,Kuang,1588,1/3468
271,Lang,1588,1/3468
274,Teoh,1584,1/3477
275,Jie,1575,1/3497
276,Ngai,1562,1/3526
276,Pei,1562,1/3526
278,Quan,1545,1/3565
279,Shum,1532,1/3595
279,Yung,1532,1/3595
281,Jang,1485,1/3709
281,Xin,1485,1/3709
283,Choong,1459,1/3775
284,Ping,1455,1/3785
285,Pok,1442,1/3819
286,Ow,1429,1/3854
287,Eng,1425,1/3865
288,Lew,1417,1/3887
289,Kung,1412,1/3901
289,Mu,1412,1/3901
289,Zhai,1412,1/3901
292,Lay,1408,1/3912
293,Koo,1404,1/3923
294,Son,1395,1/3948
295,Mo,1382,1/3985
295,Siu,1382,1/3985
297,Lwin,1370,1/4020
297,Woon,1370,1/4020
299,Nai,1365,1/4035
299,Shang,1365,1/4035
301,Reddy,1322,1/4166
301,Sato,1322,1/4166
303,Kannan,1318,1/4179
304,Yeoh,1314,1/4192
305,Lao,1310,1/4204
305,Mai,1310,1/4204
307,Jain,1297,1/4246
307,Myint,1297,1/4246
309,Mohan,1288,1/4276
310,Si,1280,1/4303
310,Tanaka,1280,1/4303
312,Yeow,1271,1/4333
313,Hwee,1263,1/4361
313,Kai,1263,1/4361
313,Sui,1263,1/4361
316,Foong,1258,1/4378
317,Phang,1254,1/4392
318,Hang,1250,1/4406
319,Naing,1241,1/4438
320,Subramanian,1207,1/4563
321,Bi,1190,1/4628
321,Kwon,1190,1/4628
321,Tsui,1190,1/4628
324,Lye,1168,1/4715
325,Alsagoff,1160,1/4748
326,Mani,1156,1/4764
327,Chionh,1143,1/4819
